Initial ERD Fields,Updated ERD Fields,Merged ERD Fields,Field LightBox Data,Field Lightboxdata aligned,Field CoStar Data,Field CoStar aligned
landunitapprovedorzoned,multifamily_amenities,is_active,Parcel_propertytype,,,
landunits,multifamily_gba,is_confidential,Parcel_readyforuse,Rent Roll Summary_confidential,,
landunittype,name,is_deleted,Parcel_schooldistrict,Sales_isdeleted,,
landuse,net_income_multiplier,is_excel_entry,Parcel_southboundary,,,
landvalue,new_value,is_ground_lease,Parcel_state,Parcel_isgroundlease,,
landvaluepersf,no_of_bathrooms,is_lihtc,Parcel_studentteacherratio,,,
lastrentincrease,no_of_baths,isexcel,Parcel_submarket,Sales_isexcel,,
lat,no_of_bays,jurisdiction,Parcel_supportingfiles,,,
lease_comp_id,no_of_bedrooms,land_assessment,Parcel_timestamp,Assessment_landassessment,,
leaseconditions,no_of_beds,land_hectares,Parcel_townshiprange,Sites_landhectares,,
leasedate,no_of_buildings,land_sf,Parcel_westboundary,,,
leaseexpiration,no_of_craneways,land_square_meters,Parcel_zip,Sites_landsquaremeters,,
leaseexpiredate,no_of_docks,land_unit_approved_or_zoned,Rent Roll Summary_anchors,Sites_landunitapprovedorzoned,,
leasestart,no_of_elevators,land_unit_type,Rent Roll Summary_commleasecomments,Sites_landunittype,,
leasestartdate,no_of_escalators,land_units,Rent Roll Summary_commleasenotes,Sites_landunits,,
leasetenantimprovs,no_of_golf_holes,land_use,Rent Roll Summary_CommLeaseNotes,Sites_landuse,,
leaseterm,no_of_half_baths,land_value,Rent Roll Summary_commleasesurveydate,Sales_landvalue,,
leasetransactiontype,no_of_mf_bathrooms,land_value_per_sf,Rent Roll Summary_commleaseterms,,,
leasetype,no_of_multifamily_bedrooms,last_rent_increase,Rent Roll Summary_CommLeaseType,Unit Lease_lastrentincrease,,
legaldescription,no_of_multifamily_rooms,lat,Rent Roll Summary_commrentconcessions,Parcel_lat,,
lender,no_of_rooms,lat_centroid,Rent Roll Summary_commrentpersfmax,,,
lessor,no_of_seats,lease_commencement_date,Rent Roll Summary_commrentpersfmin,,,
lhoccupancy,no_of_spaces,lease_comp_id,Rent Roll Summary_commsizemax,,,
lhtc,no_of_stories,lease_concessions,Rent Roll Summary_commsizemin,,,
lightbox_id,no_of_tenants,lease_conditions,Rent Roll Summary_commvacancy,Rent Roll_leaseconditions,,
lng,no_of_truck_doors,lease_expiration_date,Rent Roll Summary_commverificationsource,Unit Lease_leaseexpiration,,
loadfactor,no_of_truck_doors_with_levelers,lease_options,Rent Roll Summary_confidential,,,
locationdescription,no_of_units,lease_start_date,Rent Roll Summary_escalations,Rent Roll_leasestartdate,,
managementcompany,north_boundary,lease_tenant_improvs,Rent Roll Summary_ID,Rent Roll_leasetenantimprovs,,
market,notes,lease_term_months,Rent Roll Summary_instancetype,,,
marketrentmax,number_of_parcels,lease_transaction_type,Rent Roll Summary_nooftenants,Rent Roll_leasetransactiontype,,
marketrentmin,occupancy_type,lease_type,Rent Roll Summary_rentpersfpermomax,Rent Roll_leasetype,,
marketrentmo,office_gba,leasedate,Rent Roll Summary_rentpersfpermomin,Rent Roll_leasedate,,
marketrentsf,office_ra,leaseexpiration,Rent Roll Summary_sfleased,,,
maxbuildheight,old_value,leaseexpiredate,Rent Roll Summary_shadowanchors,Rent Roll_leaseexpiredate,,
maxgrosslihtcrestrictedrent,opportunity_zone,leasestart,Rent Roll Summary_tenant,Unit Lease_leasestart,,
maxsitecoverage,ordinance_document,leaseterm,Rent Roll_anchortype,Rent Roll_leaseterm,,
medianhomevalue,ordinance_document_url,legal_description,Rent Roll_baserentpermo,Sales_legaldescription,,
medianhouseholdincome,original_list_price,lender,Rent Roll_baserentperyear,Sales_lender,,
merge_timestamp,original_lp_percent_diff,lender_name,Rent Roll_baserentsf,,,
merged_by_user_or_system,other_acres,lessor,Rent Roll_baserentsfmo,Rent Roll_lessor,,
mfamenities,other_adjustment,lessor_name,Rent Roll_comments,,,
mfbrmax,other_assessment,lh_occupancy,Rent Roll_commleasesurveydate,Improvement_lhoccupancy,,
mfbrmin,other_db_refs,lhtc,Rent Roll_concessions,Unit Lease_lhtc,,
mfcarportfeemonthly,other_gba,lightbox_created_by,Rent Roll_coststofinish,,,
mfgaragefeemonthly,other_ra,lightbox_id,Rent Roll_CurrentRentPerMo,,,
mfleasecomments,owner,lightbox_timestamp,Rent Roll_datasource,,,
mfleasenotes,parcel_comments,lng,Rent Roll_effectiverentsf,Parcel_lng,,
mfleasesurveydate,parcel_id,lng_centroid,Rent Roll_effectiverentsfmo,,,
mfoccupancy,parcel_verification_data,locationdescription,Rent Roll_effrentpermo,Parcel_locationdescription,,
mfrentconcessions,parent_geo_id,major_type,Rent Roll_effrentperyear,,,
mfrentpermomax,parking,management_company,Rent Roll_escalations,Unit Lease Summary_managementcompany,,
mfrentpermomin,parking_adequacy,market,Rent Roll_expensereimbursements,Parcel_market,,
mfrentpersfmax,parking_adequacy_id,market_rent_max,Rent Roll_expensestop,Unit Lease_marketrentmax,,
mfrentpersfmin,parking_comments,market_rent_min,Rent Roll_finish,Unit Lease_marketrentmin,,
mfrentpersfpermomax,parking_condition,market_rent_per_mo,Rent Roll_floorlevel,Unit Lease_marketrentmo,,
mfrentpersfpermomin,parking_condition_id,market_rent_per_sf,Rent Roll_freerentmonths,,,
mfrenttype,parking_ratio_gba,marketrentmo,Rent Roll_id,Unit Lease_marketrentsf,,
mfsizesfmax,parking_ratio_ra,marketrentsf,Rent Roll_leaseconditions,,,
mfsizesfmin,parking_ratio_unit,max_build_height,Rent Roll_leasedate,,,
mfsourcenotes,parking_requirement,max_gross_lihtc_restricted_rent,Rent Roll_leaseexpiredate,Unit Lease_MaxGrossLIHTCRestrictedRent,,
mfsurveyedunitcounttotal,parking_type,max_site_coverage,Rent Roll_leasestartdate,,,
mftotalannualrent,parking_type_id,median_hh_income,Rent Roll_leasetenantimprovs,,,
mftotalrentpermonth,per_pupil_spending,median_home_value,Rent Roll_leaseterm,Sites_medianhomevalue,,
mfvacantunitscount,percent_diminution_in_value,median_household_income,Rent Roll_leasetransactiontype,Sites_medianhouseholdincome,,
mfweightedavgrentpersfpermo,percent_office_ul,merge_timestamp,Rent Roll_leasetype,Parcel_timestamp,,
mfweightedavgrentpersfperyear,percent_rent,merged_by_user_or_system,Rent Roll_lessor,,,
mfweightedavgrentperunit,percent_stigma,mf_br_max,Rent Roll_options,Unit Lease Summary_mfbrmax,,
minimumlotarea,percent_tillable,mf_br_min,Rent Roll_percentofficeul,Unit Lease Summary_mfbrmin,,
minlotarea,percent_wetlands,mf_carport_fee_monthly,Rent Roll_percentrent,Unit Lease Summary_mfcarportfeemonthly,,
monthlyordailyrent,perimeter,mf_garage_fee_monthly,Rent Roll_rentbasis,Unit Lease Summary_mfgaragefeemonthly,,
msa,perimeter_sf,mf_lease_comments,Rent Roll_rentincreased,Unit Lease Summary_mfleasecomments,,
multifamilyamenities,permitted_uses,mf_lease_notes,Rent Roll_rentperm2,Unit Lease Summary_mfleasenotes,,
multifamilygba,population,mf_lease_survey_date,Rent Roll_rentperm2permo,Unit Lease Summary_mfleasesurveydate,,
municipality,porch_or_deck,mf_occupancy,Rent Roll_rentpersfpermo,Unit Lease Summary_mfoccupancy,,
name,potential_gross_income_multiplier,mf_rent_concessions,Rent Roll_sizem2,Unit Lease Summary_mfrentconcessions,,
neighborhood,price_adjustment,mf_rent_per_mo_max,Rent Roll_suite,Unit Lease Summary_mfrentpermomax,,
neighborhoodcomments,price_per_acre,mf_rent_per_mo_min,Rent Roll_tenant,Unit Lease Summary_mfrentpermomin,,
net_rentable_area,price_per_bay,mf_rent_per_sf_max,Rent Roll_tenantcam,,,
new_value,price_per_bed,mf_rent_per_sf_min,Rent Roll_tenantparking,,,
nim,price_per_bedroom,mf_rent_per_sf_per_mo_max,Rent Roll_typeoruseofspace,Unit Lease Summary_mfrentpersfpermomax,,
noofbathrooms,price_per_buildable_sf,mf_rent_per_sf_per_mo_min,Rent Roll_unitsf,Unit Lease Summary_mfrentpersfpermomin,,
noofbays,price_per_far,mf_rent_type,Rent Roll_verificationdate,Unit Lease Summary_mfrenttype,,
noofbedrooms,price_per_gba_meters,mf_size_sf_max,Rent Roll_verificationsource,,,
noofbeds,price_per_land_hectares,mf_size_sf_min,Saleinfo_NIM,,,
noofbuildings,price_per_land_sf,mf_source_notes,Sales_activestatus,Unit Lease Summary_MFSourceNotes,,
noofelevators,price_per_land_sqm,mf_surveyed_unit_count_total,Sales_adjustmentcomments,Unit Lease Summary_mfsurveyedunitcounttotal,,
noofescalators,price_per_land_unit,mf_total_annual_rent,Sales_appraisaldate,Unit Lease Summary_mftotalannualrent,,
noofgolfholes,price_per_mf_bedroom,mf_total_rent_per_month,Sales_appraisedvalue,Unit Lease Summary_mftotalrentpermonth,,
noofhalfbaths,price_per_mf_room,mf_unit_amenities,Sales_bookpageorrefdoc,Unit Lease Summary_mfamenities,,
noofmfbathrooms,price_per_primary_frontage,mf_vacant_units_count,Sales_businessvalueadjustment,Unit Lease Summary_mfvacantunitscount,,
noofmultifamilybedrooms,price_per_ra,mf_weighted_avg_rent_per_sf_per_mo,Sales_buyertype,Unit Lease Summary_mfweightedavgrentpersfpermo,,
noofmultifamilyrooms,price_per_ra_meters,mf_weighted_avg_rent_per_sf_per_year,Sales_caprate,Unit Lease Summary_mfweightedavgrentpersfperyear,,
noofrooms,price_per_room,mf_weighted_avg_rent_per_unit,Sales_caprate,Unit Lease Summary_mfweightedavgrentperunit,,
noofseats,price_per_sf,mfamenities,Sales_cleanupcosts,,,
noofspaces,price_per_space,min_lot_area,Sales_conditionsofsale,,,
noofstories,price_per_unit,minimum_lot_area,Sales_conditionsofsaleadjustment,,,
nooftenants,price_per_usable_acre,monthly_or_daily_rent,Sales_confidential,Unit Lease_monthlyordailyrent,,
nooftruckdoors,price_per_usable_land_sf,msa,Sales_currentlistprice,Parcel_msa,,
nooftruckdoorswithlevelers,primary_frontage_lf,multifamily_gba,Sales_currentlppercentdiff,,,
noofunits,primary_frontage_st,municipality,Sales_currentuse,Parcel_municipality,,
northboundary,product_segment,name,Sales_datasource,Parcel_name,,
number_of_units,productivity_index,neighborhood,Sales_daysonmarket,Parcel_neighborhood,,
numberofparcels,project_amenities,neighborhoodcomments,Sales_diminutionsource,Parcel_neighborhoodcomments,,
occupancytype,project_id,net_income_multiplier,Sales_discountrate,,,
officegba,project_name,net_rentable_area,Sales_egim,,,
officera,project_property_id,new_value,Sales_egim,,,
old_value,project_style,nim,Sales_environmentalconcerns,Sales_nim,,
opportunityzone,property_assessment_id,no_of_baths,Sales_environmentalremarks,,,
options,property_id,no_of_buildings,Sales_environmentalstatus,,,
ordinancedocument,property_included,no_of_craneways,Sales_excesslandadjustment,,,
originallistprice,property_rights,no_of_docks,Sales_expendituresaftersaleadjustment,,,
originallppercentdiff,property_type,no_of_mf_bathrooms,Sales_expensegrowthrate,Improvement_noofmfbathrooms,,
otheracres,property_type_id,no_of_multifamily_bedrooms,Sales_ffandeadjustment,Improvement_noofmultifamilybedrooms,,
otheradjustment,property_zoning_id,no_of_multifamily_rooms,Sales_financing,Improvement_noofmultifamilyrooms,,
otherdbrefs,proportion_renovated,no_of_tenants,Sales_financingtermsadjustment,Sales_tosnumberoftenants,,
othergba,proposed_sf,north_boundary,Sales_finishcondition,Parcel_northboundary,,
otherra,proposed_units,notes,Sales_grantee,,,
owner,proposed_use,number_of_parcels,Sales_grantor,Sites_NumberOfParcels,,
parcel_id,quality_id,number_of_units,Sales_highestandbestuse,,,
parcelcomments,ra_total,occupancy_type,Sales_holdingperiodyears,Unit Lease_occupancytype,,
parcelid,ra_total_meters,office_gba,Sales_hotelroomrevmultiplier,,,
parcelverificationdata,rail_service,office_ra,Sales_id,,,
parking,ready_for_use,old_value,Sales_improvementvalue,,,
parkingadequacy,rear_yard_distance,opportunity_zone,Sales_improvementvaluepersf,Parcel_opportunityzone,,
parkingadequacyid,recording_date,options,Sales_incomegrowth,Rent Roll_options,,
parkingcomments,remaining_economic_life,ordinance_document,Sales_incomegrowthrate,,,
parkingcondition,renovations_description,ordinance_document_url,Sales_internalcomments,,,
parkingconditionid,rent_basis,original_list_price,Sales_isdeleted,Sales_originallistprice,,
parkingratiogba,rent_comp_id,original_lp_percent_diff,Sales_isexcel,Sales_originallppercentdiff,,
parkingratiora,rent_escalations,other_acres,Sales_landvalue,Sites_otheracres,,
parkingratiounit,rent_increase_percent,other_adjustment,Sales_landvaluepersf,Sales_otheradjustment,,
parkingrequirement,rent_last_increased,other_assessment,Sales_legaldescription,Assessment_otherassessment,,
parkingtype,rent_per_mo,other_db_refs,Sales_lender,Parcel_otherdbrefs,,
parkingtypeid,rent_per_sf_per_mo,other_gba,Sales_nim,,,
percentdiminutioninvalue,rent_per_sf_per_mo_max,other_ra,Sales_originallistprice,,,
percentofficeul,rent_per_sf_per_mo_min,owner,Sales_originallppercentdiff,Parcel_owner,,
percentrent,rent_per_sq_meter,parcel_comments,Sales_otheradjustment,incExp_comments,,
percentstigma,rent_per_sq_meter_per_mo,parcel_id,Sales_percentdiminutioninvalue,Rent Roll_id,,
percenttillable,rent_roll_summary_commleasenotes,parcel_verification_data,Sales_percentstigma,Sales_verificationdate,,
percentwetlands,rentable_area,parent_geo_id,Sales_pgim,,,
perimeter,residential_amenities,parking_adequacy_id,Sales_pgim,,,
perimetersf,residential_design,parking_condition_id,Sales_price,,,
permitteduses,responsible_party,parking_ratio_gba,Sales_priceactual,,,
pgim,retail_gba,parking_ratio_ra,Sales_priceadjustment,,,
porchordeck,retail_gla,parking_ratio_unit,Sales_priceperacre,Improvement_parkingratiounit,,
price,rev_par,parking_requirement,Sales_priceperbay,,,
priceactual,risk_profile,parking_type_id,Sales_priceperbed,,,
priceadjustment,road_frontage,per_pupil_spending,Sales_priceperbedroom,,,
priceperacre,roof_cover,percent_diminution_in_value,Sales_priceperbuildablesf,Sales_percentdiminutioninvalue,,
priceperbay,roof_cover_id,percent_office_ul,Sales_priceperfar,Rent Roll_percentofficeul,,
priceperbed,roof_type,percent_rent,Sales_pricepergbameters,Rent Roll_percentrent,,
priceperbedroom,roof_type_id,percent_stigma,Sales_priceperlandhectares,Sales_percentstigma,,
priceperbuildablesf,sale_comments,percent_tillable,Sales_priceperlandsf,Sites_percenttillable,,
priceperfar,sale_comp_id,percent_wetlands,Sales_priceperlandsqm,Sites_percentwetlands,,
pricepergbameters,sale_date,perimeter,Sales_priceperlandunit,Improvement_perimeter,,
priceperlandhectares,sale_notes,perimeter_sf,Sales_pricepermfbedroom,,,
priceperlandsf,sale_price,permitted_uses,Sales_pricepermfroom,,,
priceperlandsqm,sale_supporting_files,pgim,Sales_priceperprimaryfrontage,Sales_pgim,,
priceperlandunit,school_district_id,population,Sales_priceperra,,,
pricepermfbedroom,secondary_frontage_lf,potential_gross_income_multiplier,Sales_priceperrameters,,,
pricepermfroom,secondary_frontage_st,price,Sales_priceperroom,Sales_price,,
priceperprimaryfrontage,secondary_traffic_count,price_adjustment,Sales_pricepersf,Sales_priceadjustment,,
priceperra,session_end,price_per_acre,Sales_priceperspace,Sales_priceperacre,,
priceperrameters,session_start,price_per_bay,Sales_priceperunit,Sales_priceperbay,,
priceperroom,setback_distance,price_per_bed,Sales_priceperusableacre,Sales_priceperbed,,
pricepersf,sf_leased,price_per_bedroom,Sales_priceperusableacre,Sales_priceperbedroom,,
priceperspace,sf_size_max,price_per_buildable_sf,Sales_priceperusablelandsf,Sales_priceperbuildablesf,,
priceperunit,sf_size_min,price_per_far,Sales_propertyincluded,Sales_priceperfar,,
priceperusableacre,shadow_anchors,price_per_gba_meters,Sales_propertyrights,,,
priceperusablelandsf,shape,price_per_land_hectares,Sales_proposeduse,Sales_priceperlandhectares,,
primaryfrontagelf,side_yard_distance,price_per_land_sf,Sales_recordingdate,,,
primaryfrontagest,site_acres,price_per_land_sqm,Sales_responsibleparty,Sales_priceperlandsqm,,
productivityindex,site_area_id,price_per_land_unit,Sales_riskprofile,Sales_priceperlandunit,,
productsegment,site_comments,price_per_mf_bedroom,Sales_salecomments,Sales_pricepermfbedroom,,
project_id,site_dimensions,price_per_mf_room,Sales_saledate,Sales_pricepermfroom,,
project_name,site_drainage,price_per_primary_frontage,Sales_salenotes,Sales_priceperprimaryfrontage,,
project_property_id,site_id,price_per_ra,Sales_salesupportingfiles,,,
projectamenities,site_landscaping,price_per_ra_meters,Sales_terminalcaprate,,,
projectstyle,site_topography,price_per_room,Sales_toscaprate,Sales_priceperroom,,
property_id,site_utilities,price_per_sf,Sales_toseffectiveage,,,
property_zoning_id,site_views,price_per_space,Sales_tosegim,Sales_priceperspace,,
propertyincluded,site_visibility,price_per_unit,Sales_tosnoi,Sales_priceperunit,,
propertymajortype,size_sq_meters,price_per_usable_acre,Sales_tosnumberoftenants,Sales_priceperusableacre,,
propertyrights,soil_type,price_per_usable_land_sf,Sales_tosoccupancyrate,Sales_priceperusablelandsf,,
propertysubtype,source_for_sf_area,priceactual,Sales_tospriceperrsf,Sales_priceactual,,
propertytype,source_system,primary_frontage_lf,Sales_tospriceperuseableacreland,Sites_primaryfrontagelf,,
proportionrenovated,south_boundary,primary_frontage_st,Sales_tospriceperuseablesfland,Sites_primaryfrontagest,,
proposedsf,space_finish,product_segment,Sales_tostenancytype,Improvement_productsegment,,
proposedunits,special_assessments,productivity_index,Sales_tosvacancyrate,Sites_productivityindex,,
proposeduse,sprinkler_type,project_amenities,Sales_tosweightedaverageleaseterm,Unit Lease Summary_projectamenities,,
quality,sprinklers_id,project_id,Sales_transactiontype,,,
qualityid,square_feet,project_name,Sales_typeofcontamination,,,
railservice,status,project_property_id,Sales_verificationdate,,,
ratotal,storage_fee,project_style,Sales_verificationphone,Unit Lease Summary_projectstyle,,
ratotalmeters,student_teacher_ratio,property_assessment_id,Sales_verificationsource,,,
readyforuse,sub_type,property_id,Sites_access,,,
rearyarddistance,suite_number,property_included,Sites_acres,Sales_propertyincluded,,
recordingdate,supporting_files,property_rights,Sites_allowablefloorareasf,Sales_propertyrights,,
remainingeconomiclife,surface_parking_spaces,property_type,Sites_allowableunits,Parcel_propertytype,,
renovations,tax_id,property_type_id,Sites_allutilities,Parcel_propertysubtype,,
rent_comp_id,tax_rate,property_zoning_id,Sites_areainfloodzone,,,
rent_roll_summary_commleasenotes,taxing_authority,propertymajortype,Sites_buildablesf,Parcel_propertymajortype,,
rentablearea,tenant_cam,propertysubtype,Sites_corner,,,
rentbasis,tenant_improvements,proposed_sf,Sites_demographicssurveydate,,,
rentincreased,tenant_name,proposed_units,Sites_depth,Sites_proposedunits,,
rentincreasepercent,tenant_parking,proposed_use,Sites_dimensions,Sales_proposeduse,,
rentperm2,tenant_profile,quality_id,Sites_drainage,,,
rentperm2permo,terminal_cap_rate,ra_total,Sites_earthquakehazardrisk,,,
rentpermo,tertiary_frontage_lf,rail_service,Sites_earthquakezonecomments,Sites_railservice,,
rentpersfpermo,tertiary_frontage_st,ready_for_use,Sites_easementacres,Parcel_readyforuse,,
rentpersfpermomax,tertiary_traffic_count,rear_yard_distance,Sites_easementlandsf,,,
rentpersfpermomin,tillable_acres,recording_date,Sites_effectivewaterfrontage,Sales_recordingdate,,
residentialamenities,time_log_id,renovations_description,Sites_encumbranceoreasement,,,
residentialdesign,tos_cap_rate,rent_basis,Sites_environmentalissues,Rent Roll_rentbasis,,
responsibleparty,tos_effective_age,rent_comp_id,Sites_excessacres,,,
retailgba,tos_egim,rent_escalations,Sites_excesslandsf,Rent Roll Summary_escalations,,
retailgla,tos_noi,rent_increase_percent,Sites_femamapdate,Unit Lease_rentincreasepercent,,
revpar,tos_number_of_tenants,rent_last_increased,Sites_floodmappanel,Rent Roll_rentincreased,,
riskprofile,tos_occupancy_rate,rent_per_mo,Sites_floodzone,Unit Lease_rentpermo,,
roadfrontage,tos_price_per_rsf,rent_per_sf_per_mo,Sites_homesiteacres,,,
roofcover,tos_price_per_useable_acre_land,rent_per_sf_per_mo_max,Sites_landhectares,Rent Roll Summary_rentpersfpermomax,,
roofcoverid,tos_price_per_useable_sf_land,rent_per_sf_per_mo_min,Sites_landsf,Rent Roll Summary_rentpersfpermomin,,
rooftype,tos_tenancy_type,rent_per_sq_meter,Sites_landsquaremeters,,,
rooftypeid,tos_vacancy_rate,rent_per_sq_meter_per_mo,Sites_landunitapprovedorzoned,,,
rooms,tos_weighted_avg_lease_term,rent_roll_summary_commleasenotes,Sites_landunits,Rent Roll Summary_CommLeaseNotes,,
sale_comp_id,total_assessment,rentable_area,Sites_landunittype,,,
salecomments,total_economic_life,rentincreased,Sites_landuse,,,
saledate,total_market_rent,rentperm2,Sites_medianhomevalue,Rent Roll_rentperm2,,
salenotes,total_taxes,rentperm2permo,Sites_medianhouseholdincome,Rent Roll_rentperm2permo,,
salesupportingfiles,traffic_count,responsible_party,Sites_NumberOfParcels,Sales_responsibleparty,,
schooldistrict,traffic_survey_date,retail_gba,Sites_otheracres,,,
secondaryfrontagelf,transaction_type,retail_gla,Sites_percenttillable,,,
secondaryfrontagest,type_of_contamination,rev_par,Sites_percentwetlands,Improvement_revpar,,
secondarytrafficcount,type_or_use_of_space,risk_profile,Sites_primaryfrontagelf,Sales_riskprofile,,
session_end,typical_bay_depth,road_frontage,Sites_primaryfrontagest,Sites_roadfrontage,,
session_start,unit_category,roof_cover_id,Sites_productivityindex,,,
setbackdistance,unit_count,roof_type_id,Sites_proposedsf,,,
sfleased,unit_depth_ft,rooms,Sites_proposedunits,Unit Lease_rooms,,
sfsizemax,unit_floor,sale_comments,Sites_railservice,Sales_salecomments,,
sfsizemin,unit_height_ft,sale_comp_id,Sites_roadfrontage,,,
shadowanchors,unit_mix_id,sale_date,Sites_secondaryfrontagelf,Sales_saledate,,
shalcommunityfee,unit_sf,sale_notes,Sites_secondaryfrontagest,Sales_salenotes,,
shalentryfee,unit_type,sale_price,Sites_secondarytrafficcount,,,
shaloccupancypercentage,unit_width_ft,sale_supporting_files,Sites_shape,Sales_salesupportingfiles,,
shalsecondpersonfeemonthly,updated_at,school_district_id,Sites_sitecomments,Parcel_schooldistrict,,
shalunitcount,updated_by_user_id,schooldistrict,Sites_soiltype,,,
shape,usable_area,secondary_frontage_lf,Sites_SurplusAcres,Sites_secondaryfrontagelf,,
shcaretypecomments,user_id,secondary_frontage_st,Sites_SurplusLandSF,Sites_secondaryfrontagest,,
shilcommunityfee,utilities_paid_by_owner,secondary_traffic_count,Sites_tertiaryfrontagelf,Sites_secondarytrafficcount,,
shilentryfee,utility_allowance,session_end,Sites_tertiaryfrontagest,,,
shiloccupancypercentage,vacancy_rate,session_start,Sites_tertiarytrafficcount,,,
shilsecondpersonfeemonthly,vacant_units,setback_distance,Sites_tillableacres,,,
shilunitcount,verification_date,sf_leased,Sites_topography,,,
shmccommunityfee,verification_phone,sf_size_max,Sites_trafficcount,,,
shmcentryfee,verification_source,sf_size_min,Sites_trafficsurveydate,,,
shmcoccupancypercentage,verificationdate,shadow_anchors,Sites_UnusableAcres,Rent Roll Summary_shadowanchors,,
shmcsecondpersonfeemonthly,waste_acres,shalcommunityfee,Sites_UnusableLandSF,Unit Lease Summary_shalcommunityfee,,
shmcunitcount,water_frontage,shalentryfee,Sites_usableacres,Unit Lease Summary_shalentryfee,,
shothercommunityfee,west_boundary,shaloccupancypercentage,Sites_usablelandsf,Unit Lease Summary_shaloccupancypercentage,,
shotherentryfee,wetland_acres,shalsecondpersonfeemonthly,Sites_utilities,Unit Lease Summary_shalsecondpersonfeemonthly,,
shotheroccupancypercentage,wetlands_type,shalunitcount,Sites_views,Unit Lease Summary_shalunitcount,,
shothersecondpersonfeemonthly,within_flood_plain,shape,Sites_visibility,Sites_shape,,
shotherunitcount,woodland_acres,shcaretypecomments,Sites_wasteacres,,,
shpayormedicaidpercentage,year_built,shilcommunityfee,Sites_waterfrontage,Unit Lease Summary_shilcommunityfee,,
shpayormedicarepercentage,year_built_numeric,shilentryfee,Sites_wetlandacres,Unit Lease Summary_shilentryfee,,
shpayorotherpercentage,zoned_density,shilunitcount,Sites_wetlandstype,Unit Lease Summary_shilunitcount,,
shpayorprivatepaypercentage,zoning_authority,shmccommunityfee,Sites_withinfloodplainname,Unit Lease Summary_shmccommunityfee,,
shpayorvapercentage,zoning_code,shmcentryfee,Sites_woodlandacres,Unit Lease Summary_shmcentryfee,,
shsncommunityfee,zoning_designation,shmcoccupancypercentage,Unit Lease Summary_avgmfunitsize,Unit Lease Summary_shmcoccupancypercentage,,
shsnentryfee,zoning_district,shmcsecondpersonfeemonthly,Unit Lease Summary_ID,Unit Lease Summary_shmcsecondpersonfeemonthly,,
shsnoccupancypercentage,zoning_id,shmcunitcount,Unit Lease Summary_instancetype,Unit Lease Summary_shmcunitcount,,
shsnsecondpersonfeemonthly,zoning_jurisdiction,shothercommunityfee,Unit Lease Summary_managementcompany,Unit Lease Summary_shothercommunityfee,,
shsnunitcount,zoning_notes,shotherentryfee,Unit Lease Summary_mfamenities,Unit Lease Summary_shotherentryfee,,
sideyarddistance,zoning_summary,shotheroccupancypercentage,Unit Lease Summary_mfbrmax,Unit Lease Summary_shotheroccupancypercentage,,
site_area_id,zoning_type,shothersecondpersonfeemonthly,Unit Lease Summary_mfbrmin,Unit Lease Summary_shothersecondpersonfeemonthly,,
site_id,,shotherunitcount,Unit Lease Summary_mfcarportfeemonthly,Unit Lease Summary_shotherunitcount,,
sitecomments,,shpayormedicaidpercentage,Unit Lease Summary_mfgaragefeemonthly,Unit Lease Summary_shpayormedicaidpercentage,,
sizem2,,shpayormedicarepercentage,Unit Lease Summary_mfleasecomments,Unit Lease Summary_SHPayorMedicarePercentage,,
soiltype,,shpayorotherpercentage,Unit Lease Summary_mfleasenotes,Unit Lease Summary_shpayorotherpercentage,,
source_system,,shpayorprivatepaypercentage,Unit Lease Summary_mfleasesurveydate,Unit Lease Summary_shpayorprivatepaypercentage,,
sourceforsfarea,,shpayorvapercentage,Unit Lease Summary_mfoccupancy,Unit Lease Summary_shpayorvapercentage,,
southboundary,,shsncommunityfee,Unit Lease Summary_mfrentconcessions,Unit Lease Summary_shsncommunityfee,,
sprinklers,,shsnentryfee,Unit Lease Summary_mfrentpermomax,Unit Lease Summary_shsnentryfee,,
sprinklersid,,shsnoccupancypercentage,Unit Lease Summary_mfrentpermomin,Unit Lease Summary_shsnoccupancypercentage,,
square_feet,,shsnsecondpersonfeemonthly,Unit Lease Summary_mfrentpersfmax,Unit Lease Summary_shsnsecondpersonfeemonthly,,
state,,shsnunitcount,Unit Lease Summary_mfrentpersfmin,Unit Lease Summary_shsnunitcount,,
status,,side_yard_distance,Unit Lease Summary_mfrentpersfpermomax,,,
storagefee,,site_acres,Unit Lease Summary_mfrentpersfpermomin,Sites_wasteacres,,
studentteacherratio,,site_area_id,Unit Lease Summary_mfrenttype,,,
submarket,,site_comments,Unit Lease Summary_mfsizesfmax,Sites_sitecomments,,
suite,,site_dimensions,Unit Lease Summary_mfsizesfmin,,,
summary,,site_drainage,Unit Lease Summary_MFSourceNotes,,,
supportingfiles,,site_id,Unit Lease Summary_mfsurveyedunitcounttotal,,,
surfaceparkingspaces,,site_landscaping,Unit Lease Summary_mftotalannualrent,,,
tenant,,site_topography,Unit Lease Summary_mftotalrentpermonth,Sites_topography,,
tenantcam,,site_utilities,Unit Lease Summary_mfvacantunitscount,,,
tenantimprovements,,site_views,Unit Lease Summary_mfweightedavgrentpersfpermo,,,
tenantparking,,site_visibility,Unit Lease Summary_mfweightedavgrentpersfperyear,Sites_visibility,,
tenantprofile,,size_sq_meters,Unit Lease Summary_mfweightedavgrentperunit,,,
terminalcaprate,,sizem2,Unit Lease Summary_projectamenities,Rent Roll_sizem2,,
