Named Range,Sheet,Cell,Reference
N1_txtIE_Proj6OtherIncomePerMo,ProForma,$FC$697,ProForma!$FC$697
N1_txtIE_Proj6PGR,ProForma,$FC$685,ProForma!$FC$685
N1_txtIE_Proj6TaxExpense,ProForma,$FC$698,ProForma!$FC$698
N1_txtIE_Proj6TotalExpenses,ProForma,$FC$699,ProForma!$FC$699
N1_txtIE_Proj6TotalOtherIncome,ProForma,$FC$691,ProForma!$FC$691
N1_txtIE_Proj6UtilitiesReimb,ProForma,$FC$694,ProForma!$FC$694
N1_txtIE_Proj6Vacancy,ProForma,$FI$686,ProForma!$FI$686
N1_txtImprov_FutureCapex,Improvements,$AB$23,Improvements!$AB$23
N1_txtImprov_HistoricalCapex,Improvements,$AB$22,Improvements!$AB$22
N1_txtImprov_NeighborhoodNar,Improvements,$AB$21,Improvements!$AB$21
N1_txtIncomeApproach_MethodsUsed,Income Approach Setup,$H$17,'Income Approach Setup'!$H$17
N1_txtIncomeApproach_ReconcileTo,DirectCapConclusion,$BT$140,DirectCapConclusion!$BT$140
N1_txtIndirectCostPercentage,Cost Approach,$AT$110,'Cost Approach'!$AT$110
N1_txtInspectedAppraisers,File Info,$AU$629,'File Info'!$AU$629
N1_txtInspectedAppraisersHasHave,File Info,$AU$630,'File Info'!$AU$630
N1_txtInvestorSurveyCapToExit,Capitalization and Multipliers,$AF$430,'Capitalization and Multipliers'!$AF$430
N1_txtInvestorSurveyCapToExit_All,Investor Survey Output,$T$27,'Investor Survey Output'!$T$27
N1_txtInvestorSurveyComparison_All,Investor Survey Output,$R$22:$AC$35,'Investor Survey Output'!$R$22:$AC$35
N1_txtInvestorSurveyExitToDiscount,Capitalization and Multipliers,$AF$438,'Capitalization and Multipliers'!$AF$438
N1_txtInvestorSurveyExitToDiscount_All,Investor Survey Output,$T$35,'Investor Survey Output'!$T$35
N1_txtLandAreaSource,Site,$AB$46,Site!$AB$46
N1_txtLandValuation_Rounded,Land Valuation,$EL$257,'Land Valuation'!$EL$257
N1_txtLIHTCDepReplacementCost,Cost Approach,$KG$711,'Cost Approach'!$KG$711
N1_txtLODG_Cost_ConclValue_AsIs,txt_All,$D$718,txt_All!$D$718
N1_txtLODG_DCFAsIsDiscountRate,txt_All,$D$665,txt_All!$D$665
N1_txtLODG_DCFAsIsRateSpread,txt_All,$D$666,txt_All!$D$666
N1_txtLODG_DCFAsIsReversionRate,txt_All,$D$664,txt_All!$D$664
N1_txtLODG_DCFBaseYear,txt_All,$D$711,txt_All!$D$711
N1_txtLODG_DCFRampUpYears,txt_All,$D$717,txt_All!$D$717
N1_txtLODG_ExpCompHeader_Host,txt_All,$D$673,txt_All!$D$673
N1_txtLODG_FDDFees_Percent,txt_All,$D$682,txt_All!$D$682
N1_txtLODG_MgmtFee_Percent,txt_All,$D$683,txt_All!$D$683
N1_txtLODG_Reserves_Percent,txt_All,$D$684,txt_All!$D$684
N1_txtLODG_RoomRevProj_Year1,txt_All,$D$167,txt_All!$D$167
N1_txtLODG_RRMConclusionMethod,Sales Approach,$TY$548,'Sales Approach'!$TY$548
N1_txtLODG_SD_CY_ADRPenetration,txt_All,$D$691,txt_All!$D$691
N1_txtLODG_SD_CY_OccPenetration,txt_All,$D$690,txt_All!$D$690
N1_txtLODG_SD_CYPeriod,txt_All,$D$689,txt_All!$D$689
N1_txtLODG_SD_FY,txt_All,$D$692,txt_All!$D$692
N1_txtLODG_SD_FY_ADRPenetration,txt_All,$D$695,txt_All!$D$695
N1_txtLODG_SD_FY_Occ,txt_All,$D$693,txt_All!$D$693
N1_txtLODG_SD_FY_OccPenetration,txt_All,$D$694,txt_All!$D$694
N1_txtLODG_SD_FY_RevPARPenetration,txt_All,$D$696,txt_All!$D$696
N1_txtLODG_SD_PY,txt_All,$D$686,txt_All!$D$686
N1_txtLODG_SD_PY_ADRPenetration,txt_All,$D$688,txt_All!$D$688
N1_txtLODG_SD_PY_OccPenetration,txt_All,$D$687,txt_All!$D$687
N1_txtLODG_Trend_PercYear,txt_All,$D$660,txt_All!$D$660
N1_txtLODG_TTMADR,txt_All,$D$679,txt_All!$D$679
N1_txtLODG_TTMEndDate,txt_All,$D$677,txt_All!$D$677
N1_txtLODG_TTMOCC,txt_All,$D$678,txt_All!$D$678
N1_txtLODG_TTMRevPAR,txt_All,$D$680,txt_All!$D$680
N1_txtLODG_TTMRevPARPenetration,txt_All,$D$681,txt_All!$D$681
N1_txtLODGCompsADMINExpRange_ADMINRev,txt_All,$D$467,txt_All!$D$467
N1_txtLODGCompsADMINExpRange_PAR,txt_All,$D$468,txt_All!$D$468
N1_txtLODGCompsADMINExpRange_POR,txt_All,$D$468,txt_All!$D$468
N1_txtLODGCompsADMINExpRange_TotalRev,txt_All,$D$467,txt_All!$D$467
N1_txtLODGCompsATTExpRange_ATTRev,txt_All,$D$456,txt_All!$D$456
N1_txtLODGCompsATTExpRange_POR,txt_All,$D$457,txt_All!$D$457
N1_txtLODGCompsATTRevRange_RoomRev,txt_All,$D$274,txt_All!$D$274
N1_txtLODGCompsATTRevRange_TotalRev,txt_All,$D$273,txt_All!$D$273
N1_txtLODGCompsFandBExpRange_FandBRev,txt_All,$D$308,txt_All!$D$308
N1_txtLODGCompsFandBExpRange_POR,txt_All,$D$309,txt_All!$D$309
N1_txtLODGCompsFandBExpRange_TotalRev,txt_All,$D$307,txt_All!$D$307
N1_txtLODGCompsFandBRevRange_RoomRev,txt_All,$D$173,txt_All!$D$173
N1_txtLODGCompsFandBRevRange_TotalRev,txt_All,$D$172,txt_All!$D$172
N1_txtLODGCompsFFEEExpRange_FFEERev,txt_All,$D$502,txt_All!$D$502
N1_txtLODGCompsFFEEExpRange_PAR,txt_All,$D$503,txt_All!$D$503
N1_txtLODGCompsFFEEExpRange_POR,txt_All,$D$503,txt_All!$D$503
N1_txtLODGCompsFFEEExpRange_TotalRev,txt_All,$D$502,txt_All!$D$502
N1_txtLODGCompsFITExpRange_FITRev,txt_All,$D$434,txt_All!$D$434
N1_txtLODGCompsFITExpRange_POR,txt_All,$D$435,txt_All!$D$435
N1_txtLODGCompsFITRevRange_RoomRev,txt_All,$D$250,txt_All!$D$250
N1_txtLODGCompsFITRevRange_TotalRev,txt_All,$D$249,txt_All!$D$249
N1_txtLODGCompsGolfExpRange_GolfRev,txt_All,$D$357,txt_All!$D$357
N1_txtLODGCompsGolfExpRange_POR,txt_All,$D$358,txt_All!$D$358
N1_txtLODGCompsGolfRevRange_RoomRev,txt_All,$D$242,txt_All!$D$242
N1_txtLODGCompsGolfRevRange_TotalRev,txt_All,$D$241,txt_All!$D$241
N1_txtLODGCompsINSExpRange_INSRev,txt_All,$D$557,txt_All!$D$557
N1_txtLODGCompsINSExpRange_PAR,txt_All,$D$558,txt_All!$D$558
N1_txtLODGCompsINSExpRange_POR,txt_All,$D$558,txt_All!$D$558
N1_txtLODGCompsINSExpRange_TotalRev,txt_All,$D$557,txt_All!$D$557
N1_txtLODGCompsITSExpRange_ITSRev,txt_All,$D$480,txt_All!$D$480
N1_txtLODGCompsITSExpRange_PAR,txt_All,$D$481,txt_All!$D$481
N1_txtLODGCompsITSExpRange_POR,txt_All,$D$481,txt_All!$D$481
N1_txtLODGCompsITSExpRange_TotalRev,txt_All,$D$480,txt_All!$D$480
N1_txtLODGCompsMARExpRange_MARRev,txt_All,$D$401,txt_All!$D$401
N1_txtLODGCompsMARExpRange_POR,txt_All,$D$402,txt_All!$D$402
N1_txtLODGCompsMARRevRange_RoomRev,txt_All,$D$199,txt_All!$D$199
N1_txtLODGCompsMARRevRange_TotalRev,txt_All,$D$198,txt_All!$D$198
N1_txtLODGCompsMEMExpRange_MEMRev,txt_All,$D$445,txt_All!$D$445
N1_txtLODGCompsMEMExpRange_POR,txt_All,$D$446,txt_All!$D$446
N1_txtLODGCompsMEMRevRange_RoomRev,txt_All,$D$258,txt_All!$D$258
N1_txtLODGCompsMEMRevRange_TotalRev,txt_All,$D$257,txt_All!$D$257
N1_txtLODGCompsNONOPExpRange_NONOPRev,txt_All,$D$546,txt_All!$D$546
N1_txtLODGCompsNONOPExpRange_PAR,txt_All,$D$547,txt_All!$D$547
N1_txtLODGCompsNONOPExpRange_POR,txt_All,$D$547,txt_All!$D$547
N1_txtLODGCompsNONOPExpRange_TotalRev,txt_All,$D$546,txt_All!$D$546
N1_txtLODGCompsOODExpRange_OODRev,txt_All,$D$324,txt_All!$D$324
N1_txtLODGCompsOODExpRange_POR,txt_All,$D$325,txt_All!$D$325
N1_txtLODGCompsOODExpRange_TotalRev,txt_All,$D$323,txt_All!$D$323
N1_txtLODGCompsOODExpSelectAVG_POR,txt_All,$D$724,txt_All!$D$724
N1_txtLODGCompsOODRevRange_RoomRev,txt_All,$D$183,txt_All!$D$183
N1_txtLODGCompsOODRevRange_TotalRev,txt_All,$D$182,txt_All!$D$182
N1_txtLODGCompsPASSExpRange_PASSRev,txt_All,$D$423,txt_All!$D$423
N1_txtLODGCompsPASSExpRange_POR,txt_All,$D$424,txt_All!$D$424
N1_txtLODGCompsPOMExpRange_PAR,txt_All,$D$536,txt_All!$D$536
N1_txtLODGCompsPOMExpRange_POMRev,txt_All,$D$535,txt_All!$D$535
N1_txtLODGCompsPOMExpRange_POR,txt_All,$D$536,txt_All!$D$536
N1_txtLODGCompsPOMExpRange_TotalRev,txt_All,$D$535,txt_All!$D$535
N1_txtLODGCompsPRKExpRange_POR,txt_All,$D$336,txt_All!$D$336
N1_txtLODGCompsPRKExpRange_PRKRev,txt_All,$D$335,txt_All!$D$335
N1_txtLODGCompsRECExpRange_POR,txt_All,$D$413,txt_All!$D$413
N1_txtLODGCompsRECExpRange_RECRev,txt_All,$D$412,txt_All!$D$412
N1_txtLODGCompsRECRevRange_RoomRev,txt_All,$D$207,txt_All!$D$207
N1_txtLODGCompsRECRevRange_TotalRev,txt_All,$D$206,txt_All!$D$206
N1_txtLODGCompsRETExpRange_POR,txt_All,$D$380,txt_All!$D$380
N1_txtLODGCompsRETExpRange_RETRev,txt_All,$D$379,txt_All!$D$379
N1_txtLODGCompsRETRevRange_RoomRev,txt_All,$D$282,txt_All!$D$282
N1_txtLODGCompsRETRevRange_TotalRev,txt_All,$D$281,txt_All!$D$281
N1_txtLODGCompsRoomsExpRange_POR,txt_All,$D$294,txt_All!$D$294
N1_txtLODGCompsRoomsExpRange_RoomRev,txt_All,$D$293,txt_All!$D$293
N1_txtLODGCompsRoomsExpRange_TotalRev,txt_All,$D$292,txt_All!$D$292
N1_txtLODGCompsSALEExpRange_PAR,txt_All,$D$492,txt_All!$D$492
N1_txtLODGCompsSALEExpRange_POR,txt_All,$D$492,txt_All!$D$492
N1_txtLODGCompsSALEExpRange_SALERev,txt_All,$D$491,txt_All!$D$491
N1_txtLODGCompsSALEExpRange_TotalRev,txt_All,$D$491,txt_All!$D$491
N1_txtLODGCompsSMFFExpRange_PAR,txt_All,$D$514,txt_All!$D$514
N1_txtLODGCompsSMFFExpRange_POR,txt_All,$D$514,txt_All!$D$514
N1_txtLODGCompsSMFFExpRange_SMFFRev,txt_All,$D$513,txt_All!$D$513
N1_txtLODGCompsSMFFExpRange_TotalRev,txt_All,$D$513,txt_All!$D$513
N1_txtLODGCompsSpaExpRange_POR,txt_All,$D$347,txt_All!$D$347
N1_txtLODGCompsSpaExpRange_SpaRev,txt_All,$D$346,txt_All!$D$346
N1_txtLODGCompsSpaRevRange_RoomRev,txt_All,$D$234,txt_All!$D$234
N1_txtLODGCompsSpaRevRange_TotalRev,txt_All,$D$233,txt_All!$D$233
N1_txtLODGCompsTENExpRange_POR,txt_All,$D$391,txt_All!$D$391
N1_txtLODGCompsTENExpRange_TENRev,txt_All,$D$390,txt_All!$D$390
N1_txtLODGCompsTENRevRange_RoomRev,txt_All,$D$191,txt_All!$D$191
N1_txtLODGCompsTENRevRange_TotalRev,txt_All,$D$190,txt_All!$D$190
N1_txtLODGCompsUTILExpRange_PAR,txt_All,$D$525,txt_All!$D$525
N1_txtLODGCompsUTILExpRange_POR,txt_All,$D$525,txt_All!$D$525
N1_txtLODGCompsUTILExpRange_TotalRev,txt_All,$D$524,txt_All!$D$524
N1_txtLODGCompsUTILExpRange_UTILRev,txt_All,$D$524,txt_All!$D$524
N1_txtLODGCompsWPExpRange_POR,txt_All,$D$369,txt_All!$D$369
N1_txtLODGCompsWPExpRange_WPRev,txt_All,$D$368,txt_All!$D$368
N1_txtLODGCompsWPRevRange_RoomRev,txt_All,$D$266,txt_All!$D$266
N1_txtLODGCompsWPRevRange_TotalRev,txt_All,$D$265,txt_All!$D$265
N1_txtLODGForecastADMINExpAsIs_ADMINRev,txt_All,$D$470,txt_All!$D$470
N1_txtLODGForecastADMINExpAsIs_PAR,txt_All,$D$473,txt_All!$D$473
N1_txtLODGForecastADMINExpAsIs_POR,txt_All,$D$473,txt_All!$D$473
N1_txtLODGForecastADMINExpAsIs_TotalRev,txt_All,$D$470,txt_All!$D$470
N1_txtLODGForecastADMINExpDeflStable_PAR,txt_All,$D$475,txt_All!$D$475
N1_txtLODGForecastADMINExpDeflStable_POR,txt_All,$D$475,txt_All!$D$475
N1_txtLODGForecastADMINExpInPlace_ADMINRev,txt_All,$D$469,txt_All!$D$469
N1_txtLODGForecastADMINExpInPlace_PAR,txt_All,$D$472,txt_All!$D$472
N1_txtLODGForecastADMINExpInPlace_POR,txt_All,$D$472,txt_All!$D$472
N1_txtLODGForecastADMINExpInPlace_TotalRev,txt_All,$D$469,txt_All!$D$469
N1_txtLODGForecastADMINExpStable_ADMINRev,txt_All,$D$471,txt_All!$D$471
N1_txtLODGForecastADMINExpStable_PAR,txt_All,$D$474,txt_All!$D$474
N1_txtLODGForecastADMINExpStable_POR,txt_All,$D$474,txt_All!$D$474
N1_txtLODGForecastADMINExpStable_TotalRev,txt_All,$D$471,txt_All!$D$471
N1_txtLODGForecastATTExpAsIs_ATTRev,txt_All,$D$459,txt_All!$D$459
N1_txtLODGForecastATTExpAsIs_POR,txt_All,$D$462,txt_All!$D$462
N1_txtLODGForecastATTExpDeflStable_POR,txt_All,$D$464,txt_All!$D$464
N1_txtLODGForecastATTExpInPlace_ATTRev,txt_All,$D$458,txt_All!$D$458
N1_txtLODGForecastATTExpInPlace_POR,txt_All,$D$461,txt_All!$D$461
N1_txtLODGForecastATTExpStable_ATTRev,txt_All,$D$460,txt_All!$D$460
N1_txtLODGForecastATTExpStable_POR,txt_All,$D$463,txt_All!$D$463
N1_txtLODGForecastATTRevAsIs_POR,txt_All,$D$278,txt_All!$D$278
N1_txtLODGForecastATTRevAsIs_TotalRev,txt_All,$D$276,txt_All!$D$276
N1_txtLODGForecastATTRevInPlace_POR,txt_All,$D$277,txt_All!$D$277
N1_txtLODGForecastATTRevInPlace_TotalRev,txt_All,$D$275,txt_All!$D$275
N1_txtLODGForecastFandBExpAsIs_FandBRev,txt_All,$D$311,txt_All!$D$311
N1_txtLODGForecastFandBExpAsIs_POR,txt_All,$D$314,txt_All!$D$314
N1_txtLODGForecastFandBExpDeflStable_POR,txt_All,$D$316,txt_All!$D$316
N1_txtLODGForecastFandBExpInPlace_FandBRev,txt_All,$D$310,txt_All!$D$310
N1_txtLODGForecastFandBExpInPlace_POR,txt_All,$D$313,txt_All!$D$313
N1_txtLODGForecastFandBExpStable_FandBRev,txt_All,$D$312,txt_All!$D$312
N1_txtLODGForecastFandBExpStable_POR,txt_All,$D$315,txt_All!$D$315
N1_txtLODGForecastFandBRevAsIs_POR,txt_All,$D$177,txt_All!$D$177
N1_txtLODGForecastFandBRevAsIs_TotalRev,txt_All,$D$175,txt_All!$D$175
N1_txtLODGForecastFandBRevInPlace_POR,txt_All,$D$176,txt_All!$D$176
N1_txtLODGForecastFandBRevInPlace_TotalRev,txt_All,$D$174,txt_All!$D$174
N1_txtLODGForecastFFEEExpAsIs_FFEERev,txt_All,$D$505,txt_All!$D$505
N1_txtLODGForecastFFEEExpAsIs_PAR,txt_All,$D$508,txt_All!$D$508
N1_txtLODGForecastFFEEExpAsIs_POR,txt_All,$D$508,txt_All!$D$508
N1_txtLODGForecastFFEEExpAsIs_TotalRev,txt_All,$D$505,txt_All!$D$505
N1_txtLODGForecastFFEEExpDeflStable_PAR,txt_All,$D$510,txt_All!$D$510
N1_txtLODGForecastFFEEExpDeflStable_POR,txt_All,$D$510,txt_All!$D$510
N1_txtLODGForecastFFEEExpInPlace_FFEERev,txt_All,$D$504,txt_All!$D$504
N1_txtLODGForecastFFEEExpInPlace_PAR,txt_All,$D$507,txt_All!$D$507
N1_txtLODGForecastFFEEExpInPlace_POR,txt_All,$D$507,txt_All!$D$507
N1_txtLODGForecastFFEEExpInPlace_TotalRev,txt_All,$D$504,txt_All!$D$504
N1_txtLODGForecastFFEEExpStable_FFEERev,txt_All,$D$506,txt_All!$D$506
N1_txtLODGForecastFFEEExpStable_PAR,txt_All,$D$509,txt_All!$D$509
N1_txtLODGForecastFFEEExpStable_POR,txt_All,$D$509,txt_All!$D$509
N1_txtLODGForecastFFEEExpStable_TotalRev,txt_All,$D$506,txt_All!$D$506
N1_txtLODGForecastFITExpAsIs_FITRev,txt_All,$D$437,txt_All!$D$437
N1_txtLODGForecastFITExpAsIs_POR,txt_All,$D$440,txt_All!$D$440
N1_txtLODGForecastFITExpDeflStable_POR,txt_All,$D$442,txt_All!$D$442
N1_txtLODGForecastFITExpInPlace_FITRev,txt_All,$D$436,txt_All!$D$436
N1_txtLODGForecastFITExpInPlace_POR,txt_All,$D$439,txt_All!$D$439
N1_txtLODGForecastFITExpStable_FITRev,txt_All,$D$438,txt_All!$D$438
N1_txtLODGForecastFITExpStable_POR,txt_All,$D$441,txt_All!$D$441
N1_txtLODGForecastFITRevAsIs_POR,txt_All,$D$254,txt_All!$D$254
N1_txtLODGForecastFITRevAsIs_TotalRev,txt_All,$D$252,txt_All!$D$252
N1_txtLODGForecastFITRevInPlace_POR,txt_All,$D$253,txt_All!$D$253
N1_txtLODGForecastFITRevInPlace_TotalRev,txt_All,$D$251,txt_All!$D$251
N1_txtLODGForecastGolfExpAsIs_GolfRev,txt_All,$D$360,txt_All!$D$360
N1_txtLODGForecastGolfExpAsIs_POR,txt_All,$D$363,txt_All!$D$363
N1_txtLODGForecastGolfExpDeflStable_POR,txt_All,$D$365,txt_All!$D$365
N1_txtLODGForecastGolfExpInPlace_GolfRev,txt_All,$D$359,txt_All!$D$359
N1_txtLODGForecastGolfExpInPlace_POR,txt_All,$D$362,txt_All!$D$362
N1_txtLODGForecastGolfExpStable_GolfRev,txt_All,$D$361,txt_All!$D$361
N1_txtLODGForecastGolfExpStable_POR,txt_All,$D$364,txt_All!$D$364
N1_txtLODGForecastGolfRevAsIs_POR,txt_All,$D$246,txt_All!$D$246
N1_txtLODGForecastGolfRevAsIs_TotalRev,txt_All,$D$244,txt_All!$D$244
N1_txtLODGForecastGolfRevInPlace_POR,txt_All,$D$245,txt_All!$D$245
N1_txtLODGForecastGolfRevInPlace_TotalRev,txt_All,$D$243,txt_All!$D$243
N1_txtLODGForecastINSExpAsIs_INSRev,txt_All,$D$560,txt_All!$D$560
N1_txtLODGForecastINSExpAsIs_PAR,txt_All,$D$563,txt_All!$D$563
N1_txtLODGForecastINSExpAsIs_POR,txt_All,$D$563,txt_All!$D$563
N1_txtLODGForecastINSExpAsIs_TotalRev,txt_All,$D$560,txt_All!$D$560
N1_txtLODGForecastINSExpDeflStable_PAR,txt_All,$D$565,txt_All!$D$565
N1_txtLODGForecastINSExpDeflStable_POR,txt_All,$D$565,txt_All!$D$565
N1_txtLODGForecastINSExpInPlace_INSRev,txt_All,$D$559,txt_All!$D$559
N1_txtLODGForecastINSExpInPlace_PAR,txt_All,$D$562,txt_All!$D$562
N1_txtLODGForecastINSExpInPlace_POR,txt_All,$D$562,txt_All!$D$562
N1_txtLODGForecastINSExpInPlace_TotalRev,txt_All,$D$559,txt_All!$D$559
N1_txtLODGForecastINSExpStable_INSRev,txt_All,$D$561,txt_All!$D$561
N1_txtLODGForecastINSExpStable_PAR,txt_All,$D$564,txt_All!$D$564
N1_txtLODGForecastINSExpStable_POR,txt_All,$D$564,txt_All!$D$564
N1_txtLODGForecastINSExpStable_TotalRev,txt_All,$D$561,txt_All!$D$561
N1_txtLODGForecastITSExpAsIs_ITSRev,txt_All,$D$483,txt_All!$D$483
N1_txtLODGForecastITSExpAsIs_PAR,txt_All,$D$486,txt_All!$D$486
N1_txtLODGForecastITSExpAsIs_POR,txt_All,$D$486,txt_All!$D$486
N1_txtLODGForecastITSExpAsIs_TotalRev,txt_All,$D$483,txt_All!$D$483
N1_txtLODGForecastITSExpDeflStable_PAR,txt_All,$D$488,txt_All!$D$488
N1_txtLODGForecastITSExpDeflStable_POR,txt_All,$D$488,txt_All!$D$488
N1_txtLODGForecastITSExpInPlace_ITSRev,txt_All,$D$482,txt_All!$D$482
N1_txtLODGForecastITSExpInPlace_PAR,txt_All,$D$485,txt_All!$D$485
N1_txtLODGForecastITSExpInPlace_POR,txt_All,$D$485,txt_All!$D$485
N1_txtLODGForecastITSExpInPlace_TotalRev,txt_All,$D$482,txt_All!$D$482
N1_txtLODGForecastITSExpStable_ITSRev,txt_All,$D$484,txt_All!$D$484
N1_txtLODGForecastITSExpStable_PAR,txt_All,$D$487,txt_All!$D$487
N1_txtLODGForecastITSExpStable_POR,txt_All,$D$487,txt_All!$D$487
N1_txtLODGForecastITSExpStable_TotalRev,txt_All,$D$484,txt_All!$D$484
N1_txtLODGForecastMARExpAsIs_MARRev,txt_All,$D$404,txt_All!$D$404
N1_txtLODGForecastMARExpAsIs_POR,txt_All,$D$407,txt_All!$D$407
N1_txtLODGForecastMARExpDeflStable_POR,txt_All,$D$409,txt_All!$D$409
N1_txtLODGForecastMARExpInPlace_MARRev,txt_All,$D$403,txt_All!$D$403
N1_txtLODGForecastMARExpInPlace_POR,txt_All,$D$406,txt_All!$D$406
N1_txtLODGForecastMARExpStable_MARRev,txt_All,$D$405,txt_All!$D$405
N1_txtLODGForecastMARExpStable_POR,txt_All,$D$408,txt_All!$D$408
N1_txtLODGForecastMARRevAsIs_POR,txt_All,$D$203,txt_All!$D$203
N1_txtLODGForecastMARRevAsIs_TotalRev,txt_All,$D$201,txt_All!$D$201
N1_txtLODGForecastMARRevInPlace_POR,txt_All,$D$202,txt_All!$D$202
N1_txtLODGForecastMARRevInPlace_TotalRev,txt_All,$D$200,txt_All!$D$200
N1_txtLODGForecastMEMExpAsIs_MEMRev,txt_All,$D$448,txt_All!$D$448
N1_txtLODGForecastMEMExpAsIs_POR,txt_All,$D$451,txt_All!$D$451
N1_txtLODGForecastMEMExpDeflStable_POR,txt_All,$D$453,txt_All!$D$453
N1_txtLODGForecastMEMExpInPlace_MEMRev,txt_All,$D$447,txt_All!$D$447
N1_txtLODGForecastMEMExpInPlace_POR,txt_All,$D$450,txt_All!$D$450
N1_txtLODGForecastMEMExpStable_MEMRev,txt_All,$D$449,txt_All!$D$449
N1_txtLODGForecastMEMExpStable_POR,txt_All,$D$452,txt_All!$D$452
N1_txtLODGForecastMEMRevAsIs_POR,txt_All,$D$262,txt_All!$D$262
N1_txtLODGForecastMEMRevAsIs_TotalRev,txt_All,$D$260,txt_All!$D$260
N1_txtLODGForecastMEMRevInPlace_POR,txt_All,$D$261,txt_All!$D$261
N1_txtLODGForecastMEMRevInPlace_TotalRev,txt_All,$D$259,txt_All!$D$259
N1_txtLODGForecastMiscRevAsIs_POR,txt_All,$D$230,txt_All!$D$230
N1_txtLODGForecastMiscRevInPlace_POR,txt_All,$D$229,txt_All!$D$229
N1_txtLODGForecastNONOPExpAsIs_NONOPRev,txt_All,$D$549,txt_All!$D$549
N1_txtLODGForecastNONOPExpAsIs_PAR,txt_All,$D$552,txt_All!$D$552
N1_txtLODGForecastNONOPExpAsIs_POR,txt_All,$D$552,txt_All!$D$552
N1_txtLODGForecastNONOPExpAsIs_TotalRev,txt_All,$D$549,txt_All!$D$549
N1_txtLODGForecastNONOPExpDeflStable_PAR,txt_All,$D$554,txt_All!$D$554
N1_txtLODGForecastNONOPExpDeflStable_POR,txt_All,$D$554,txt_All!$D$554
N1_txtLODGForecastNONOPExpInPlace_NONOPRev,txt_All,$D$548,txt_All!$D$548
N1_txtLODGForecastNONOPExpInPlace_PAR,txt_All,$D$551,txt_All!$D$551
N1_txtLODGForecastNONOPExpInPlace_POR,txt_All,$D$551,txt_All!$D$551
N1_txtLODGForecastNONOPExpInPlace_TotalRev,txt_All,$D$548,txt_All!$D$548
N1_txtLODGForecastNONOPExpStable_NONOPRev,txt_All,$D$550,txt_All!$D$550
N1_txtLODGForecastNONOPExpStable_PAR,txt_All,$D$553,txt_All!$D$553
N1_txtLODGForecastNONOPExpStable_POR,txt_All,$D$553,txt_All!$D$553
N1_txtLODGForecastNONOPExpStable_TotalRev,txt_All,$D$550,txt_All!$D$550
N1_txtLODGForecastOODExpAsIs_OODRev,txt_All,$D$327,txt_All!$D$327
N1_txtLODGForecastOODExpAsIs_POR,txt_All,$D$330,txt_All!$D$330
N1_txtLODGForecastOODExpDeflStable_POR,txt_All,$D$332,txt_All!$D$332
N1_txtLODGForecastOODExpInPlace_OODRev,txt_All,$D$326,txt_All!$D$326
N1_txtLODGForecastOODExpInPlace_POR,txt_All,$D$329,txt_All!$D$329
N1_txtLODGForecastOODExpStable_OODRev,txt_All,$D$328,txt_All!$D$328
N1_txtLODGForecastOODExpStable_POR,txt_All,$D$331,txt_All!$D$331
N1_txtLODGForecastOODRevAsIs_POR,txt_All,$D$187,txt_All!$D$187
N1_txtLODGForecastOODRevAsIs_TotalRev,txt_All,$D$185,txt_All!$D$185
N1_txtLODGForecastOODRevInPlace_POR,txt_All,$D$186,txt_All!$D$186
N1_txtLODGForecastOODRevInPlace_TotalRev,txt_All,$D$184,txt_All!$D$184
N1_txtLODGForecastParkRevAsIs_Capture,txt_All,$D$221,txt_All!$D$221
N1_txtLODGForecastParkRevAsIs_POR,txt_All,$D$222,txt_All!$D$222
N1_txtLODGForecastPASSExpAsIs_PASSRev,txt_All,$D$426,txt_All!$D$426
N1_txtLODGForecastPASSExpAsIs_POR,txt_All,$D$429,txt_All!$D$429
N1_txtLODGForecastPASSExpDeflStable_POR,txt_All,$D$431,txt_All!$D$431
N1_txtLODGForecastPASSExpInPlace_PASSRev,txt_All,$D$425,txt_All!$D$425
N1_txtLODGForecastPASSExpInPlace_POR,txt_All,$D$428,txt_All!$D$428
N1_txtLODGForecastPASSExpStable_PASSRev,txt_All,$D$427,txt_All!$D$427
N1_txtLODGForecastPASSExpStable_POR,txt_All,$D$430,txt_All!$D$430
N1_txtLODGForecastPASSRevAsIs_Capture,txt_All,$D$227,txt_All!$D$227
N1_txtLODGForecastPASSRevAsIs_POR,txt_All,$D$228,txt_All!$D$228
N1_txtLODGForecastPOMExpAsIs_PAR,txt_All,$D$541,txt_All!$D$541
N1_txtLODGForecastPOMExpAsIs_POMRev,txt_All,$D$538,txt_All!$D$538
N1_txtLODGForecastPOMExpAsIs_POR,txt_All,$D$541,txt_All!$D$541
N1_txtLODGForecastPOMExpAsIs_TotalRev,txt_All,$D$538,txt_All!$D$538
N1_txtLODGForecastPOMExpDeflStable_PAR,txt_All,$D$543,txt_All!$D$543
N1_txtLODGForecastPOMExpDeflStable_POR,txt_All,$D$543,txt_All!$D$543
N1_txtLODGForecastPOMExpInPlace_PAR,txt_All,$D$540,txt_All!$D$540
N1_txtLODGForecastPOMExpInPlace_POMRev,txt_All,$D$537,txt_All!$D$537
N1_txtLODGForecastPOMExpInPlace_POR,txt_All,$D$540,txt_All!$D$540
N1_txtLODGForecastPOMExpInPlace_TotalRev,txt_All,$D$537,txt_All!$D$537
N1_txtLODGForecastPOMExpStable_PAR,txt_All,$D$542,txt_All!$D$542
